date,description,amount
2025-08-18,Investment Transfer,-507.95
2025-08-18,Chipotle,-12.76
2025-08-18,Sushi Place,-43.06
2025-08-18,Tax Refund,850.0
2025-08-18,Bank Fee,-12.1
2025-08-18,Tax Refund,850.0
2025-08-19,Freelance Client,1250.0
2025-08-19,Local Restaurant,-69.4
2025-08-19,Doctor Office,-144.53
2025-08-19,United Airlines,-445.33
2025-08-19,Bowling Alley,-42.56
2025-08-19,Whole Foods Market,-133.02
2025-08-19,Shell Gas Station,-39.45
2025-08-19,Dentist,-210.8
2025-08-20,Chevron,-59.1
2025-08-20,Walmart,-225.66
2025-08-20,Credit Card Payment,-1636.96
2025-08-20,Costco,-293.97
2025-08-20,Credit Card Payment,-1544.92
2025-08-21,Bowling Alley,-36.61
2025-08-21,Safeway,-58.56
2025-08-21,Gas Utility,-73.37
2025-08-21,Electric Company,-141.48
2025-08-21,Trader Joes,-103.31
2025-08-21,Movie Theater,-36.64
2025-08-22,United Airlines,-361.55
2025-08-22,Safeway,-69.6
2025-08-22,Doctor Office,-132.71
2025-08-22,Uber,-26.29
2025-08-22,Safeway,-80.28
2025-08-23,United Airlines,-520.24
2025-08-23,CVS Pharmacy,-31.72
2025-08-23,CVS Pharmacy,-34.46
2025-08-23,Costco,-284.16
2025-08-23,Investment Transfer,-463.87
2025-08-23,Sushi Place,-39.27
2025-08-24,Gym Membership,-47.87
2025-08-24,Netflix,-13.43
2025-08-24,Freelance Client,1250.0
2025-08-24,Nike Store,-118.65
2025-08-25,Hardware Store,-20.45
2025-08-25,Movie Theater,-27.15
2025-08-25,Parking Meter,-6.58
2025-08-25,Investment Transfer,-468.42
2025-08-25,Tax Refund,850.0
2025-08-25,Credit Card Payment,-1547.74
2025-08-25,McDonalds,-13.63
2025-08-26,Bowling Alley,-38.95
2025-08-26,Walmart,-206.04
2025-08-26,Employer Inc - Salary,8500.0
2025-08-26,Gas Station (Trip),-45.23
2025-08-27,Trader Joes,-90.37
2025-08-27,Spotify,-10.86
2025-08-27,Freelance Client,1250.0
2025-08-27,Uber,-25.87
2025-08-28,Home Depot,-90.17
2025-08-28,Home Depot,-85.41
2025-08-28,Walmart,-262.18
2025-08-29,Marriott Hotel,-345.37
2025-08-29,Home Depot,-94.28
2025-08-29,Trader Joes,-98.24
2025-08-29,Investment Transfer,-576.22
2025-08-30,Electric Company,-119.4
2025-08-30,Toll Pass,-15.55
2025-08-30,Bank Fee,-13.66
2025-08-30,Credit Card Payment,-1476.45
2025-08-30,Stock Dividend,125.5
2025-08-30,Bank Fee,-9.96
2025-08-30,Dentist,-266.73
2025-08-31,Credit Card Payment,-1235.14
2025-08-31,Walmart,-251.93
2025-08-31,Concert Tickets,-136.94
2025-08-31,Movie Theater,-31.26
2025-08-31,Gym Membership,-50.98
2025-09-01,Trader Joes,-99.19
2025-09-01,Starbucks,-5.66
2025-09-01,Credit Card Payment,-1797.18
2025-09-01,Sushi Place,-39.75
2025-09-02,Gas Utility,-66.96
2025-09-02,Bank Fee,-14.04
2025-09-02,Trader Joes,-98.46
2025-09-03,Spotify,-9.15
2025-09-03,Gym Membership,-52.08
2025-09-03,Credit Card Payment,-1485.02
2025-09-03,Toll Pass,-17.23
2025-09-03,Freelance Client,1250.0
2025-09-03,Shell Gas Station,-43.65
2025-09-03,Tax Refund,850.0
2025-09-04,Tax Refund,850.0
2025-09-04,Credit Card Payment,-1617.85
2025-09-04,Marriott Hotel,-342.71
2025-09-04,Parking Meter,-6.48
2025-09-04,Stock Dividend,125.5
2025-09-04,Home Depot,-94.04
2025-09-04,Dentist,-247.96
2025-09-04,Nike Store,-146.35
2025-09-05,Hardware Store,-24.29
2025-09-05,Walmart,-274.59
2025-09-05,Credit Card Payment,-1604.52
2025-09-05,Walgreens,-26.82
2025-09-05,Freelance Client,1250.0
2025-09-06,Bank Fee,-11.17
2025-09-06,Stock Dividend,125.5
2025-09-06,Kroger,-143.04
2025-09-07,McDonalds,-13.09
2025-09-07,Steam Games,-63.98
2025-09-07,Employer Inc - Salary,8500.0
2025-09-07,Lyft,-19.84
2025-09-07,Trader Joes,-77.77
2025-09-08,Walmart,-275.84
2025-09-08,Uber,-24.58
2025-09-08,Netflix,-15.14
2025-09-08,CVS Pharmacy,-40.53
2025-09-09,Costco,-197.4
2025-09-09,Investment Transfer,-575.6
2025-09-09,Marriott Hotel,-344.36
2025-09-09,Tax Refund,850.0
2025-09-09,Home Depot,-104.68
2025-09-09,Electric Company,-124.25
2025-09-10,Rent Payment,-2733.19
2025-09-10,Chevron,-52.86
2025-09-10,Hardware Store,-26.8
2025-09-10,Concert Tickets,-130.28
2025-09-10,Concert Tickets,-141.38
2025-09-11,Spotify,-9.56
2025-09-11,Credit Card Payment,-1788.28
2025-09-11,Employer Inc - Salary,8500.0
2025-09-11,Bank Fee,-11.92
2025-09-12,Toll Pass,-17.27
2025-09-12,Investment Transfer,-575.36
2025-09-12,CVS Pharmacy,-30.47
2025-09-12,Walmart,-272.22
2025-09-12,Shell Gas Station,-36.49
2025-09-12,Electric Company,-101.1
2025-09-12,Gym Membership,-37.14
2025-09-13,Chevron,-61.11
2025-09-13,Stock Dividend,125.5
2025-09-13,Nike Store,-108.89
2025-09-13,Best Buy,-426.31
2025-09-13,Stock Dividend,125.5
2025-09-13,Lowes,-155.57
2025-09-13,Freelance Client,1250.0
2025-09-14,Kroger,-138.75
2025-09-14,Home Depot,-81.01
2025-09-14,Doctor Office,-124.46
2025-09-14,Rent Payment,-2997.21
2025-09-15,Enterprise Rent-A-Car,-221.12
2025-09-15,Toll Pass,-12.21
2025-09-15,Employer Inc - Salary,8500.0
2025-09-15,Marriott Hotel,-373.94
2025-09-15,Netflix,-17.36
2025-09-15,Lyft,-16.1
2025-09-15,Netflix,-14.95
2025-09-15,Investment Transfer,-518.42
2025-09-16,Bank Fee,-10.8
2025-09-16,Bank Fee,-12.92
2025-09-16,Dentist,-203.31
2025-09-16,Movie Theater,-37.56
2025-09-16,Best Buy,-498.5
2025-09-16,Trader Joes,-96.7
2025-09-16,Pizza Hut,-33.48
2025-09-17,Stock Dividend,125.5
2025-09-17,Credit Card Payment,-1732.91
